4C CLOVER DIAMOND SHAPE CRYSTAL PENDANT,CLASSIQUE,SETS,"A light, airy statement piece, this kite-shaped pendant by Marie Claire has a subtle, scrolling clover design at its tips and center, in rhodium plated silver with Swarovski crystals.",SS-G59758RPCY17
4C CLOVER STACK RING,CLASSIQUE,RINGS,"A fashion trifecta, these tri-color silver stackable rings by Marie Claire are designed with fresh clover motif, available in size 7.",SS-RG9732-3C-07
4C CLOVER BLUE STATEMENT RING,CLASSIQUE,RINGS,"A singular sensation, this Marie Claire statement ring, size 7.5, has open clover motif with center icon encrusted in Swarovski aqua Cubic Zirconia, fashioned in rhodium plated silver.",SS-RG9735RPCZ07
4C CLOVER BYPASS RING,CLASSIQUE,RINGS,"Unique, chic Marie Claire designed bypass ring, size 7, is fashioned in rhodium plated silver with Swarovski aqua-colored crystals and cutout clover motif.",SS-RG9759RPCY07
4C CLOVER CUTOUT RING,CLASSIQUE,RINGS,"This bold, domed clover cut-out band by Marie Claire, size 7.25, is crafted in rhodium plated silver with Swarovski crystal accents.",SS-RG9760RPCY75
4C CLOVER INTERLOCKING BANGLE,CLASSIQUE,BANGLE,"Always on trend, Marie Claire's interlocking bangles with petite clover insignia design are fashioned in tri-color silver, ideal 7.5 inch size.",BRG000643T75
4C CLOVER INTERLOCKING RING,CLASSIQUE,RINGS,"A wow in your wardrobe, this interlocking tri-color silver ring goes with everything in your collection. By Marie Claire, the rings reveal a subtle clover motif.",BRN000645T7
4C CLOVER DOUBLE DROP PENDANT,CLASSIQUE,NECKLACE,"Color, texture and sparkle abound in this silver two-tone, two-tier teardrop clover pendant with Swarovski Cubic Zirconia accents. Adorned with the Marie Claire four ""C"" clover, the charm dangles on 17-inch chain necklace.",SS-G59737GPCZ17
4C CLOVER EMBOSSED HOOP,CLASSIQUE,EARRINGS,"Embossed with the Marie Claire four ""C"" clover design, these oval hoops offer subtle style and texture in a piece for day or night. These wire back earrings are crafted in rhodium plated silver.",SS-E14-9730RP
"MARIE CLAIRE : 14K YELLOW GOLD  POLISHED  CLOVER CHARM ANKLET - 10""",CLASSIQUE,ANKLETS,"Celebrate whimsical beauty with this Marie Claire 14K yellow gold anklet.  The design features a ribbon of gold enhanced by a polished four ""C"" clover charm fastened with lobster-claw clasp.",FRA000507Y10
"MARIE CLAIRE: 14K TWO TONE  POLISHED  CLOVER ANKLET - 10""",CLASSIQUE,ANKLETS,"Absolutely chic, sweetly symbolic and refreshingly playful. Marie Claire's 14K gold anklet features stations of tri-color clovers in a 10-inch length. This piece will complement the delicate contours of your ankle.",FRA000506T10
"MARIE CLAIRE : 14K YELLOW GOLD  POLISHED CLOVER BRACELET - 7.5""",CLASSIQUE,BRACELET,"When your ensemble calls for something elegant, reach for this Marie Claire 14K gold open clover bracelet. Classically chic, the design spaces open clover stations on 7.5 inch chain with lobster-claw clasp.  ",FRB000505Y75
"MARIE CLAIRE: 14K YELLOW GOLD  CLOVER STATEMENT  BRACELET - 7.5""",CLASSIQUE,BRACELET,"Whether a lucky charm for you or the perfect gift for someone special, this 14K yellow gold bracelet by Marie Claire dangles a delicate four ""C"" clover charm on 7.5 inch chain with lobster-claw clasp. Perfect wear alone or mixed with other designs.",FRB002003Y75
MARIE CLAIRE: 14K YELLOW GOLD POLISHED CLOVER DOUBLE DROP BOLD EARRING  W/LEVERBACK,CLASSIQUE,EARRINGS,"Every woman needs that one accessory that brings her look together, this unique statement earring by Marie Claire is the one. This bold design in 14K yellow gold dangles a double drop of open clover pendants in graduated size, with lever back closure.",FRE000501Y
MARIE CLAIRE: 14K YELLOW GOLD  SMALL  POLISHED  CLOVER  DOULE DROP EARRING W/ LEVERBACK,CLASSIQUE,EARRINGS,"A subtle style statement, this delicate double open clover drop earring in graduated size by Marie Claire. Classically chic, this 14K yellow gold design is perfect for everyday wear, with  lever-back closure.",FRE000502Y
"MARIE CLAIRE: 14K YELLOW GOLD  LARGE OPEN  CLOVER CHARM ON BOX CHAIN 17""",CLASSIQUE,NECKLACE,"The perfect accent to a casual look, this bold open clover pendant necklace by Marie Claire makes a stunning style statement in warm 14K yellow gold. The charm dangles from 17-inch box chain with lobster-claw clasp.",FRF000326Y17
"MARIE CLAIRE: 14K YELLOW GOLD  SMALL OPEN  CLOVER CHARM ON BOX CHAIN 17""",CLASSIQUE,NECKLACE,"A marriage of simplicity and symbolism, this 14K yellow gold four ""C"" clover necklace by Marie Claire is a celebration of understated charm.   The delicate open clover pendant hangs from 17-inch box chain with lobster-claw clasp. ",FRF000327Y17
"MARIE CLAIRE: 14K ROSE GOLD  SMALL OPEN CLOVER CHARM ON BOX CHAIN 17""",CLASSIQUE,NECKLACE,"A must-have for your  wardrobe, this sweet necklace by Marie Claire will delight your senses with delicate open clover pendant in warm 14K rose gold . Suspended from 17-inch box chain with lobster-claw clasp, this design wears  beautifully on it's own or mixed with other styles.",FRF000327R17
"MARIE CLAIRE: 14K WHITE GOLD  SMALL OPEN CLOVER CHARM ON BOX CHAIN -  17""",CLASSIQUE,NECKLACE,"The luck of the Irish will be with you in this white hot design by Marie Claire. This delicate 14K white gold  four ""C"" clover pendant sparkles from 17-inch box chain with lobster-claw clasp.  ",FRF000327W17
"MARIE CLAIRE: 14K YELLOW GOLD POLISHED ORGANIC CLOVER  CHARM ON BOX CHAIN -  17""",CLASSIQUE,NECKLACE,"A modern talisman, this four leaf clover etched organic disc pendant by Marie Claire makes a subtle style statement. Crafted in 14K yellow gold, the charm dangles from 17-inch box chain with lobster-claw clasp.    ",FRF000385Y17
"MARIE CLAIRE: 14K YELLOW GOLD LARGE DOUBLE CLOVER CHARM  ON BOLD BOX CHAIN -  17""",CLASSIQUE,NECKLACE,"Bold styling in an eye-catching design,  this stunning necklace by Marie Claire showcases two four ""C"" clover pendants in graduated size. Crafted in gleaming 14K yellow gold, the charm dangles on 17-inch box chain with lobster-claw clasp.",FRF000503Y17
"MARIE CLAIRE: 14K YELLOW GOLD SMALL  DOUBLE  CLOVER CHARM ON BOX CHAIN -  17""",CLASSIQUE,NECKLACE,"Double your luck and style with this Marie Claire necklace. Its delicate drop pendant features two 14K yellow gold Marie Claire four ""C"" clovers in graduated size dangling on 17-inch chain. ",FRF000504Y17
"MARIE CLAIRE: 14K YELLOW  POLISHED  ALL OVER CLOVER NECKLACE - 17""",CLASSIQUE,NECKLACE,"Fashionistas know that the clover is one of the new, chic trends in jewelry. This necklace by Marie Claire delivers in a big way spacing multiple clover stations in 14K yellow gold on 17-inch chain with lobster-claw clasp. Delightful for your décolletage.   ",FRF000505Y17
"MARIE CLAIRE: 14K YELLOW GOLD ALL OVER CLOVER NECKLACE -  36""",CLASSIQUE,NECKLACE,"Luxury comes in many forms. This unique necklace by Marie Claire is a standout in 14K yellow gold with open clover stations in a luxurious 36-inch length, with lobster-claw clasp. Versatile and fashionable.",FRF000505Y36
"MARIE CLAIRE: 14K YELLOW GOLD  POLISHED  ORGANIC CLOVER WITH GENUINE DIAMONDS ON BOX CHAIN - 17""",CHIC,NECKLACE,"A design that marries glamour and whimsy, Marie Claire's clover pendant shines in radiant diamonds atop a 14K yellow gold disc on 17-inch box chain with lobster-claw clasp.  ",FRF000650YDM17
"MARIE CLAIRE: 14K WHITE GOLD  CLOVER WITH GENUINE DIAMOND  ON BOX CHAIN- 17""",CLASSIQUE,NECKLACE,"Simply beautiful, this sparkling 14K white gold and diamond encrusted open clover pendant will be a favorite. Charm dangles on 17-inch box chain with lobster-claw closure.  ",FRF000654WDM17
"MARIE CLAIRE: 14K YELLOW GOLD  CLOVER STATION NECKLACE -  18""",CLASSIQUE,NECKLACE,"Classic design for the contemporary woman, this stylish station necklace by Marie Claire boasts an open clover motif in warm 14K yellow gold on easy-to-wear 18-inch length chain with lobster-claw clasp.",FRF000657Y18
"MARIE CLAIRE: 14KY YELLOW GOLD POLISHED CLOVER  STATION NECKLACE 30""",CLASSIQUE,NECKLACE,"Add a layer of good fortune to your jewelry ensemble with this versatile necklace by Marie Claire. Crafted in 14K yellow gold, it  features open clover stations on 30-inch chain with lobster-claw clasp. Perfect alone or layered with other styles. ",FRF000657Y30
"MARIE CLAIRE: 14K YELLOW GOLD  TEENYTINY  CLOVER ON CURB CHAIN - 17""",CLASSIQUE,NECKLACE,"Simplicity at its best, this delicate necklace from Marie Claire features a petite 14K yellow gold open clover charm on 17-inch curb-link chain with lobster-claw clasp. Perfect alone or layered with other designs.",FRF000779Y17
"MARIE CLAIRE: 14K YELLOW GOLD  ORGANIC CLOVER CHARM ON CURB CHAIN -  17""",CLASSIQUE,NECKLACE,"A subtle, modern design, this Marie Claire pendant showcases an open clover motif atop a 14K yellow gold disc on 17-inch curb-style chain with lobster-claw clasp.  An everyday favorite, this charm is classic and chic.",FRF000827Y17
"MARIE CLAIRE: 14K YELLOW GOLD CLOVER WITH GENUINE DIAMOND ON BOX CHN -  17""",CLASSIQUE,NECKLACE,You've never been a wallflower. Make your personal style statement in 14K yellow gold and diamonds with this stunning necklace by Marie Claire. The bold open clover pendant sparkles on 17-inch box chain with lobster-claw clasp.,FRF001672YDM17
MARIE CLAIRE: 14K YELLOW GOLD  POLISHED  SLIP ON 3.7mm BANGLE,CLASSIQUE,BANGLE,What girl doesn't love the feel of a bangle on her wrist. This lovely bracelet by Marie Claire is crafted in 14K yellow gold with small open clover details for added interest.  Perfect when layered with a watch or link bracelets.,FRG000647Y775
MARIE CLAIRE: 14K YELLOW GOLD  CLOVER WEDDING BAND STYLE RING - SIZE 7,CLASSIQUE,RINGS,"The significance of a wedding band married with the symbolism of the clover make this ring a meaningful choice. By Marie Claire, the band is crafted in gleaming 14K yellow gold with petite clover accents, in size 7.",FRN000660Y7
Marie Claire Aqua Enamel Clover Charm Bracelet with Swarovski Crystals,CHIC,BRACELET,"Delicate, demure and delightful this clover charm bracelet by Marie Claire is crafted in white rhodium plated brass with aquamarine enamel and Swarovski crystal accents, in 7.5 inch length.",XRB000282WGCY75
Marie Claire Pink Enamel Clover Charm Bracelet with Swarovski Crystals,CHIC,BRACELET,"Feminine, fashionable and fun this graceful clover charm bracelet by Marie Claire is crafted in white rhodium plated brass with pink enamel and Swarovski crystal accents, in 7.5 inch length.",XRB000282WPCY75
Marie Claire Clover Pendant on Pearl Bracelet with Swarovski Crystals,CHIC,BRACELET,"Delightfully Deco, you'll rock your next red carpet event in this multi-strand black Swarovski crystal pearl stretch bracelet with stunning clover pendant. Crafted in white rhodium plated brass, the iconic charm is set with black enamel and white and rose color crystal, by Marie Claire.",XRB000548WPCY
Marie Claire Clover Pendant Statement Bracelet with Swarovski Crystals,CHIC,BRACELET,"A classic style for any occasion, you'll wear this statement  bracelet by Marie Claire, day and night. Bold links crafted in yellow plated brass showcase on 7.5-inch chain an iconic open clover pendant trimmed in brilliant Swarovski crystal.",XRB000699YCY775
Marie Claire Multi-Strand Bracelet with Swarovski Crystals,CHIC,BRACELET,"A bracelet with personality, this four-strand Marie Claire piece showcases a hodgepodge of yellow-plated brass, clover pendants, and Swarovski crystal in 7.5-inch length. A singular, stylish sensation!  ",XRB000719YCY75
Marie Claire Aquamarine Heart Earrings with Swarovski Crystals,CHIC,EARRINGS,"Fun and fashionable, this heart charm hoop earring by Marie Claire is crafted in white rhodium plated brass. It dangles a heart set with aquamarine enamel with Swarovski crystal clover center and trim.",XRE000275WCY
Marie Claire Reversible Clover Earrings with Swarovski Crystals,CHIC,EARRINGS,"Bold framed iconic open four leaf clover charm earring by Marie Claire is the perfect pick to add sparkle around the face. Crafted in white rhodium plated brass, one side is enrobed in brilliant Swarovski crystal, the other shines in high polish.",XRE000279WCY
Marie Claire Clover Charm Earrings with Swarovski Crystals,CHIC,EARRINGS,"Sleek framed iconic open four leaf clover charm earring by Marie Claire makes a subtle style statement. Crafted in white rhodium plated brass with brilliant Swarovski crystal trim, a go-to piece for any wardrobe.",XRE000530WCY
"Marie Claire Clover Embossed D-hoop Earring, Rhodium Plated Brass",CHIC,EARRINGS,"Modern, tribal this bold D-hoop earring by Marie Claire is made in white rhodium plated brass embossed with a clover pattern. Fresh and fashion forward.",XRE000692W
"Marie Claire Clover Earrings, Yellow Plated Brass with Swarovski Crystals",CHIC,EARRINGS,"The perfect button studs, this round oval-shaped earring by Marie Claire is set with black enamel and open clover overlay in yellow plated brass and Swarovski crystal trim.",XRE000696YCY
Marie Claire Hammered Teardrop Earrings with Swarovski Crystals,CHIC,EARRINGS,"Contrast in color, texture and sparkle, this teardrop pendant earring by Marie Claire is crafted in hammered rose plated brass trimmed in Swarovski crystal, dangling from clover top encrusted in crystal.",XRE000723SCY
Marie Claire Aquamarine Clover Earrings with Swarovski Crystals,CHIC,EARRINGS,"Charming take on the four ""C""leaf clover, this stunning pendant earring by Marie Claire is set with bright green enamel in white rhodium plated brass gleaming in Swarovski crystal.",XRE000798WCY
Marie Claire Red Heart Earrings with Swarovski Crystals,CHIC,EARRINGS,"Vintage romance abounds in this beautiful heart-shaped pendant earring by Marie Claire, radiant in red enamel with clover detail and Swarovski crystal trim.",XRE000813WCY
Marie Claire Clover Drop Earrings with Swarovski Crystals,CHIC,EARRINGS,"Classically chic, this iconic open four ""C"" leaf clover drop earring by Marie Claire is crafted in white rhodium plated brass encrusted in Swarovski crystal. The perfect bling, day or night.",XRE000814WCY
"Marie Claire Clover Necklace, Rhodium Plated Brass with Swarovski Crystals",CHIC,NECKLACE,"A good luck talisman, this bold necklace features an open four ""C"" leaf clover pendant by Marie Claire, an iconic piece in any wardrobe. In white rhodium plated brass encrusted in sparkling Swarovski crystal, the charm hangs from 17-inch rolo style chain.",XRF000530WCY17
Marie Claire Two-tone Clover Necklace with Swarovski Crystals,CHIC,NECKLACE,"Working circles in the clover motif, this stunning Marie Claire pendant is made in white rhodium plated brass with yellow accent and Swarovski crystal trim. Long and chic, the charm hangs on a swinging 36-inch rolo style necklace.",XRF000532BCY36
"Marie Claire Marine-Inspired Clover Pendant, Navy Blue with Swarovski Crystals",CHIC,NECKLACE,"A Deco dream, this gorgeous geometric pendant by Marie Claire overlays a polished clover motif on marine blue enamel trimmed in sparkling Swarovski crystal. Crafted in white rhodium plated brass, the charm suspends from 17-inch rolo style chain necklace.",XRF000542WCY17
Marie Claire Cover Pendant on Pearl Necklace with Swarovski Crystal Accents,CHIC,NECKLACE,"Delightfully Deco, you'll rock your next red carpet event in this black Swarovski crystal pearl necklace, 16-inch length, dangling a stunning clover pendant. Crafted in white rhodium plated brass, the iconic charm is set with black enamel and white and rose color crystal, by Marie Claire.",XRF000548WPCY16
Marie Claire Clover Pendant Necklace with Swarovski Crystals,CHIC,NECKLACE,"Modern clover pendant by Marie Claire is set in black enamel with bold clover overlay, trimmed in Swarovski crystal on 18-inch necklace. Crafted in yellow plated brass, the piece is as pretty on the back as it is on the front, in open clover pattern.",XRF000696YCY18
Marie Claire Clover Link Necklace with Swarovski Crystals,CHIC,NECKLACE,"A classic style for any occasion, you'll wear this necklace by Marie Claire, day and night. Bold links crafted in yellow plated brass showcase on 18-inch chain an iconic open clover pendant trimmed in brilliant Swarovski crystal.",XRF000699YCY18
Marie Claire Clover Tassel Necklace with Swarovski Crystals,CHIC,NECKLACE,"A fun, fashion piece with vintage flare, this frilly tassel necklace by Marie Claire is crafted in yellow plated brass with Swarovski crystal and open clover accents on 36-inch chain. A go-to piece to dress up any outfit.",XRF000720YCY36
Marie Claire Sautoire Necklace with Swarovski Crystals,CHIC,NECKLACE,This stunning sautoire necklace by Marie Claire is crafted in yellow plated brass with multi-color Swarovski crystals and clover accents in versatile 60-inch length. Wear it long or wrap it up. A wardrobe must-have!,XRF000721YCY60
Marie Claire Draped Sautoire Necklace with Swarovski Crystals,CHIC,NECKLACE,A versatile addition to any jewelry wardrobe this draped sautoire necklace by Marie Claire is crafted in yellow plated brass in 48-inch length with multi-color Swarovski crystal and clover accents.,XRF000722YCY48
"Marie Claire Double Clover Pendant, Yellow Plated Brass with Swarovski Crystals",CHIC,NECKLACE,"Like night and day, this versatile double clover pendant in yellow plated brass by Marie Claire rocks two looks, one side is encrusted in Swarovski crystal, the other polished and embossed with small clovers.",XRF000760YCY17
Marie Claire Reversible Two-tone Clover Pendant with Swarovski Crystals,CHIC,NECKLACE,"Stately and stylish, this versatile iconic clover pendant flashes colorful enamel framed in high polish white rhodium plated brass on one side, Swarovski crystal encrusted on the other. The charm by Marie Claire dangles from 17-inch chain.",XRF000798WCY17
Marie Claire Reversible Two-tone Heart Pendant with Swarovski Crystals,CHIC,NECKLACE,"A crown jewel, this vintage-inspired reversible heart pendant by Marie Claire shows one side  green enamel trimmed in Swarovski crystal and centered with open crystal framed clover; the other an open clover overlay peaking a hint of green enamel. Crafted in white rhodium plated brass, the charm suspends on 17-inch chain.",XRF000803WCY17
Marie Claire Red Heart Pendant Necklace with Swarovski Crystals,CHIC,NECKLACE,"A royal beauty, this vintage-inspired reversible heart pendant by Marie Claire has two looks in one. One side shows radiant red enamel trimmed in Swarovski crystal and centered with open crystal framed clover; the other hints red behind an open clover overlay. Crafted in white rhodium plated brass, the charm dangles on 17-inch chain.",XRF000813WCY17
Marie Claire Reversible Clover Necklace with Swarovski Crystals ,CHIC,NECKLACE,"Two fashion looks in one, this iconic clover pendant has the sparkle of Swarovski crystal on one side and the sheen of high polished metal on the other, dangling from a 17-inch leather cord.",XRF000814WCY17
Marie Claire Iconic Cuff Bracelet with Swarovski Crystals,CHIC,BANGLE,"Royally chic, this iconic hammered white rhodium plated cuff by Marie Claire sparkles in Swarovski crystal trim and detailed in rose framed clovers set with shiny black enamel. ",XRG000691WCY
"Marie Claire Polished Slip-on Bangle, Rose Plated Brass",CHIC,BANGLE,"Classically chic, this rich bangle by Marie Claire is perfect alone or mixed with other styles.  Crafted in gleaming yellow plated brass, size 7, this slip-on bangle is embossed in a sweet clover motif.",XRG000693R7
"Marie Claire Polished Slip-on Bangle, Rhodium Plated Brass",CHIC,BANGLE,"This classically chic bangle by Marie Claire is perfect alone or mixed with others.  Crafted in gleaming yellow plated brass, size 7, this slip-on bangle is embossed in a sweet clover motif.",XRG000693W7
"Marie Claire Polished Slip-on Bangle, Yellow Plated Brass",CHIC,BANGLE,"A must-have accessory, this bangle by Marie Claire is sensational singularly or stacked high. Crafted in yellow plated brass, size 7, this slip-on bangle is embossed in clover motif.",XRG000693Y7
"Marie Claire Open Cuff Bracelet, Rose Plated Brass with Swarovski Crystals",CHIC,BANGLE,"A versatile piece in any jewelry wardrobe, this red carpet worthy cuff bracelet by Marie Claire is crafted in warm rose plated brass in an open clover design, trimmed in sparkling Swarovski crystals. ",XRG000705RCY
"Marie Claire Open Cuff Bracelet, Rhodium Plated Brass with Swarovski Crystals",CHIC,BANGLE,"Bold and bright, yet light and airy, this chic cuff bracelet by Marie Claire is crafted in white rhodium plated brass in open clover design, trimmed in sparkling Swarovski crystals. A versatile piece in any jewelry wardrobe.",XRG000705WCY
Marie Claire Clover Applique Cuff Bracelet with Swarovski Crystals,CHIC,BANGLE,"This stunning high-fashion cuff bracelet by Marie Claire is rich in color, texture, sparkle and style. Crafted in hammered white rhodium plated brass with rose trim, it features two-tone clover appliqué with Swarovski crystal accents.",XRG000715SCY
Marie Claire Clover Embossed Cuff Bracelet with Swarovski Crystals,CHIC,BANGLE,"A power bracelet that even Wonder Woman would want in her collection, this brilliant white rhodium plated wide brass cuff by Marie Claire is embossed with clover pattern and trimmed with sparkling Swarovski crystal.",XRG000717WCY
Marie Claire Hammered Cuff Bracelet with Swarovski Crystals,CHIC,BANGLE,"Modern majesty, this artistic cuff bracelet offers color and texture in hammered rose plated brass, trimmed with brilliant Swarovski crystal and centered with ornate black enamel and crystal clover motif.",XRG000723SCY
"Marie Claire Clover Charm Bangle, Rhodium Plated Brass",CHIC,BANGLE,"Fantastically fresh, you can't go wrong with this twisted rope style bangle by Marie Claire, crafted in white rhodium plated brass with clover charm. Worn alone or stacked, this 7.5 inch bracelet will be your favorite piece for any occasion.",XRG000730WCY75
Marie Claire Twisted Rope Bangle Rose Plated Brass,CHIC,BANGLE,"Classically chic, this must-have twisted rope bangle by Marie Claire is crafted in rose plated brass, 7.5 inch size. Wear it alone or en masse, this style is a go-to piece.",XRG000784R75
